Kod;Produktgrupp;Artikelnr;RSK-nr;Benämning;Rabatt;Rabatt2;NtoPris;ArtRabatt
V;300106;;;Kraftkabel Pe Och Pex Nexans;78,22;;;;
V;300120;;;Kraftkabel Brandsäker Nexans;84,12;;;;
V;300121;;;Kraftkabel EXQJ/FXQJ 2,5-16 Nexans;66,26;;;;
V;300122;;;Kraftkabel FXQJ EMC 2,5-35 Nexans;64,62;;;;
V;300124;;;Kraftkabel FXQJ EMC 50-300 Nexans;65,69;;;;
V;300126;;;Kraftkabel AXQJ 50-300 Nexans;64,14;;;;
V;300127;;;AXQJ EASY 50-300 NEXANS;65,84;;;;
V;300132;;;Kraftkabel FXQ Easy Nexans;64,06;;;;
V;300134;;;Kraftkabel AXQ Infra Nexans;61,97;;;;
V;300138;;;MXQ Nexans;54,61;;;;
V;300140;;;AXQ  Nexans;51,60;;;;
V;300206;;;Kraftkabel PE Och PEX NKT;74,21;;;;
V;300207;;;Kraftkabel PEX NKT;80,14;;;;
V;300220;;;Kraftkabel RXQ NKT;65,57;;;;
V;300222;;;Kraftkabel EXQJ NKT;62,32;;;;
V;300224;;;Kraftkabel FXQJ 2,5-35 NKT;63,14;;;;
V;300226;;;Kraftkabel FXQJ 50-240 NKT;62,76;;;;
V;300228;;;Kraftkabel AXQJ NKT;66,94;;;;
V;300230;;;AXQJ 3-ledare NKT;66,94;;;;
V;300232;;;AXQJ Fullskärm NKT;66,94;;;;
V;300502;;;Kraftkabel Marin;63,20;;;;
V;300990;;;Solar Plus Kraftkabel RV;75,00;;;;
V;300994;;;Solar Netto;50,00;;;;
V;300995;;;Solar Plus;75,00;;;;
V;301120;;;Styrkabel FQQR Nexans;56,27;;;;
V;301122;;;Styrkabel EQQR Nexans;57,83;;;;
V;301124;;;Styrkabel EQFR Nexans;57,83;;;;
V;301126;;;Styrkabel EQLR Nexans;59,78;;;;
V;301128;;;Styrkabel FQFR Nexans;56,94;;;;
V;301130;;;Styrkabel FQAR-G Nexans;52,80;;;;
V;301132;;;Styrkabel FQAR-PG Nexans;58,82;;;;
V;301134;;;Styrkabel FQAR-TG Nexans;53,90;;;;
V;301136;;;Styrkabel FQAR-PI Nexans;53,50;;;;
V;301138;;;Styrkabel FQAR-PIG Nexans;54,43;;;;
V;301200;;;Styrkabel Halogenfri NKT;75,79;;;;
V;301220;;;Styrkabel EQFR NKT ;57,61;;;;
V;301222;;;Styrkabel EQLR NKT;59,67;;;;
V;301224;;;Styrkabel EQQR NKT;56,67;;;;
V;301226;;;Styrkabel FQFR NKT;56,52;;;;
V;301500;;;Marin;58,76;;;;
